run_path,status_before,action,status_after,return_code,elapsed_seconds,output_path,copied_to_results,notes
C100_2x1_H_6L_sym_strain_y_m0p005_scf,not_started,run,completed,0,146.9,/Users/adamsiemiatkowski/slab-generator/runs/C100_2x1_H_6L_sym_strain_y_m0p005_scf/pw.out,/Users/adamsiemiatkowski/slab-generator/results/slabs/C100_2x1_H_6L_sym_strain_y_m0p005_scf,"copied C.pbe-n-kjpaw_psl.1.0.0.UPF; copied ['pw.in', 'pw.out', 'meta.json'] → /Users/adamsiemiatkowski/slab-generator/results/slabs/C100_2x1_H_6L_sym_strain_y_m0p005_scf"
C100_2x1_H_6L_sym_strain_y_m0p010_scf,not_started,run,completed,0,148.3,/Users/adamsiemiatkowski/slab-generator/runs/C100_2x1_H_6L_sym_strain_y_m0p010_scf/pw.out,/Users/adamsiemiatkowski/slab-generator/results/slabs/C100_2x1_H_6L_sym_strain_y_m0p010_scf,"copied C.pbe-n-kjpaw_psl.1.0.0.UPF; copied ['pw.in', 'pw.out', 'meta.json'] → /Users/adamsiemiatkowski/slab-generator/results/slabs/C100_2x1_H_6L_sym_strain_y_m0p010_scf"
C100_2x1_H_6L_sym_strain_y_p0p000_scf,not_started,run,completed,0,173.4,/Users/adamsiemiatkowski/slab-generator/runs/C100_2x1_H_6L_sym_strain_y_p0p000_scf/pw.out,/Users/adamsiemiatkowski/slab-generator/results/slabs/C100_2x1_H_6L_sym_strain_y_p0p000_scf,"copied C.pbe-n-kjpaw_psl.1.0.0.UPF; copied ['pw.in', 'pw.out', 'meta.json'] → /Users/adamsiemiatkowski/slab-generator/results/slabs/C100_2x1_H_6L_sym_strain_y_p0p000_scf"
C100_2x1_H_6L_sym_strain_y_p0p005_scf,not_started,run,completed,0,180.0,/Users/adamsiemiatkowski/slab-generator/runs/C100_2x1_H_6L_sym_strain_y_p0p005_scf/pw.out,/Users/adamsiemiatkowski/slab-generator/results/slabs/C100_2x1_H_6L_sym_strain_y_p0p005_scf,"copied C.pbe-n-kjpaw_psl.1.0.0.UPF; copied ['pw.in', 'pw.out', 'meta.json'] → /Users/adamsiemiatkowski/slab-generator/results/slabs/C100_2x1_H_6L_sym_strain_y_p0p005_scf"
C100_2x1_H_6L_sym_strain_y_p0p010_scf,not_started,run,completed,0,148.6,/Users/adamsiemiatkowski/slab-generator/runs/C100_2x1_H_6L_sym_strain_y_p0p010_scf/pw.out,/Users/adamsiemiatkowski/slab-generator/results/slabs/C100_2x1_H_6L_sym_strain_y_p0p010_scf,"copied C.pbe-n-kjpaw_psl.1.0.0.UPF; copied ['pw.in', 'pw.out', 'meta.json'] → /Users/adamsiemiatkowski/slab-generator/results/slabs/C100_2x1_H_6L_sym_strain_y_p0p010_scf"
C110_1x1_H_6L_SSSP_sym_strain_y_m0p005_scf,not_started,run,completed,0,46.3,/Users/adamsiemiatkowski/slab-generator/runs/C110_1x1_H_6L_SSSP_sym_strain_y_m0p005_scf/pw.out,/Users/adamsiemiatkowski/slab-generator/results/slabs/C110_1x1_H_6L_SSSP_sym_strain_y_m0p005_scf,"copied C.pbe-n-kjpaw_psl.1.0.0.UPF; copied ['pw.in', 'pw.out', 'meta.json'] → /Users/adamsiemiatkowski/slab-generator/results/slabs/C110_1x1_H_6L_SSSP_sym_strain_y_m0p005_scf"
C110_1x1_H_6L_SSSP_sym_strain_y_m0p010_scf,not_started,run,completed,0,47.5,/Users/adamsiemiatkowski/slab-generator/runs/C110_1x1_H_6L_SSSP_sym_strain_y_m0p010_scf/pw.out,/Users/adamsiemiatkowski/slab-generator/results/slabs/C110_1x1_H_6L_SSSP_sym_strain_y_m0p010_scf,"copied C.pbe-n-kjpaw_psl.1.0.0.UPF; copied ['pw.in', 'pw.out', 'meta.json'] → /Users/adamsiemiatkowski/slab-generator/results/slabs/C110_1x1_H_6L_SSSP_sym_strain_y_m0p010_scf"
C110_1x1_H_6L_SSSP_sym_strain_y_p0p000_scf,not_started,run,completed,0,49.1,/Users/adamsiemiatkowski/slab-generator/runs/C110_1x1_H_6L_SSSP_sym_strain_y_p0p000_scf/pw.out,/Users/adamsiemiatkowski/slab-generator/results/slabs/C110_1x1_H_6L_SSSP_sym_strain_y_p0p000_scf,"copied C.pbe-n-kjpaw_psl.1.0.0.UPF; copied ['pw.in', 'pw.out', 'meta.json'] → /Users/adamsiemiatkowski/slab-generator/results/slabs/C110_1x1_H_6L_SSSP_sym_strain_y_p0p000_scf"
C110_1x1_H_6L_SSSP_sym_strain_y_p0p005_scf,not_started,run,completed,0,51.8,/Users/adamsiemiatkowski/slab-generator/runs/C110_1x1_H_6L_SSSP_sym_strain_y_p0p005_scf/pw.out,/Users/adamsiemiatkowski/slab-generator/results/slabs/C110_1x1_H_6L_SSSP_sym_strain_y_p0p005_scf,"copied C.pbe-n-kjpaw_psl.1.0.0.UPF; copied ['pw.in', 'pw.out', 'meta.json'] → /Users/adamsiemiatkowski/slab-generator/results/slabs/C110_1x1_H_6L_SSSP_sym_strain_y_p0p005_scf"
C110_1x1_H_6L_SSSP_sym_strain_y_p0p010_scf,not_started,run,completed,0,64.0,/Users/adamsiemiatkowski/slab-generator/runs/C110_1x1_H_6L_SSSP_sym_strain_y_p0p010_scf/pw.out,/Users/adamsiemiatkowski/slab-generator/results/slabs/C110_1x1_H_6L_SSSP_sym_strain_y_p0p010_scf,"copied C.pbe-n-kjpaw_psl.1.0.0.UPF; copied ['pw.in', 'pw.out', 'meta.json'] → /Users/adamsiemiatkowski/slab-generator/results/slabs/C110_1x1_H_6L_SSSP_sym_strain_y_p0p010_scf"
