surface,run,layer_index,z_center_angstrom,depth_from_surface_angstrom,n_atoms,rumpling_angstrom,d_below_angstrom,d_below_ideal_angstrom,eps_zz_below,eps_zz_below_pct,gap_class,gap_depth_angstrom,n_cc_bonds,cc_bond_mean_angstrom,cc_bond_min_angstrom,cc_bond_max_angstrom,cc_bond_dev_mean_pct,ch_bond_mean_angstrom,epistemic_level
C111,final~C111_24L,0,28.27761,0.00000,1,0.00000,0.48799,0.51572,-0.05376302,-5.3763,0,0.24400,1,1.53813,1.53813,1.53813,-0.5830,1.10914,L2
C111,final~C111_24L,1,27.78962,0.48799,1,0.00000,1.55408,1.54715,0.00447920,0.4479,1,1.26503,2,1.54611,1.53813,1.55408,-0.0676,,L2
C111,final~C111_24L,2,26.23554,2.04207,1,0.00000,0.51470,0.51572,-0.00196872,-0.1969,0,2.29943,2,1.55045,1.54681,1.55408,0.2130,,L2
C111,final~C111_24L,3,25.72084,2.55678,1,0.00000,1.54770,1.54715,0.00035435,0.0354,1,3.33063,2,1.54726,1.54681,1.54770,0.0068,,L2
C111,final~C111_24L,4,24.17313,4.10448,1,0.00000,0.51559,0.51572,-0.00024107,-0.0241,0,4.36228,2,1.54741,1.54711,1.54770,0.0164,,L2
C111,final~C111_24L,5,23.65754,4.62007,1,0.00000,1.54745,1.54715,0.00019283,0.0193,1,5.39380,2,1.54728,1.54711,1.54745,0.0083,,L2
C111,final~C111_24L,6,22.11009,6.16752,1,0.00000,0.51581,0.51572,0.00018096,0.0181,0,6.42543,2,1.54732,1.54718,1.54745,0.0106,,L2
C111,final~C111_24L,7,21.59428,6.68333,1,0.00000,1.54756,1.54715,0.00026472,0.0265,1,7.45712,2,1.54737,1.54718,1.54756,0.0142,,L2
C111,final~C111_24L,8,20.04672,8.23090,1,0.00000,0.51587,0.51572,0.00030427,0.0304,0,8.48883,2,1.54738,1.54721,1.54756,0.0149,,L2
C111,final~C111_24L,9,19.53084,8.74677,1,0.00000,1.54756,1.54715,0.00026392,0.0264,1,9.52055,2,1.54738,1.54721,1.54756,0.0149,,L2
C111,final~C111_24L,10,17.98328,10.29433,1,0.00000,0.51586,0.51572,0.00028074,0.0281,0,10.55227,2,1.54738,1.54720,1.54756,0.0147,,L2
C111,final~C111_24L,11,17.46742,10.81020,1,0.00000,1.54754,1.54715,0.00024844,0.0248,1,11.58397,2,1.54737,1.54720,1.54754,0.0140,,L2
C111,final~C111_24L,12,15.91988,10.81020,1,0.00000,0.51586,0.51572,0.00028074,0.0281,0,10.55227,2,1.54737,1.54720,1.54754,0.0140,,L2
C111,final~C111_24L,13,15.40402,10.29433,1,0.00000,1.54756,1.54715,0.00026392,0.0264,1,9.52055,2,1.54738,1.54720,1.54756,0.0147,,L2
C111,final~C111_24L,14,13.85646,8.74677,1,0.00000,0.51587,0.51572,0.00030427,0.0304,0,8.48883,2,1.54738,1.54721,1.54756,0.0149,,L2
C111,final~C111_24L,15,13.34058,8.23090,1,0.00000,1.54756,1.54715,0.00026472,0.0265,1,7.45712,2,1.54738,1.54721,1.54756,0.0149,,L2
C111,final~C111_24L,16,11.79302,6.68333,1,0.00000,0.51581,0.51572,0.00018096,0.0181,0,6.42543,2,1.54737,1.54718,1.54756,0.0142,,L2
C111,final~C111_24L,17,11.27721,6.16752,1,0.00000,1.54745,1.54715,0.00019283,0.0193,1,5.39380,2,1.54732,1.54718,1.54745,0.0106,,L2
C111,final~C111_24L,18,9.72975,4.62007,1,0.00000,0.51559,0.51572,-0.00024107,-0.0241,0,4.36228,2,1.54728,1.54711,1.54745,0.0083,,L2
C111,final~C111_24L,19,9.21416,4.10448,1,0.00000,1.54770,1.54715,0.00035435,0.0354,1,3.33063,2,1.54741,1.54711,1.54770,0.0164,,L2
C111,final~C111_24L,20,7.66646,2.55678,1,0.00000,0.51470,0.51572,-0.00196872,-0.1969,0,2.29943,2,1.54726,1.54681,1.54770,0.0068,,L2
C111,final~C111_24L,21,7.15176,2.04207,1,0.00000,1.55408,1.54715,0.00447920,0.4479,1,1.26503,2,1.55045,1.54681,1.55408,0.2130,,L2
C111,final~C111_24L,22,5.59767,0.48799,1,0.00000,0.48799,0.51572,-0.05376302,-5.3763,0,0.24400,2,1.54611,1.53813,1.55408,-0.0676,,L2
C111,final~C111_24L,23,5.10968,0.00000,1,0.00000,,,,,,,1,1.53813,1.53813,1.53813,-0.5830,1.10914,L2
