shape,radius_nm,refine,depth_nm,n_samples,E_median_mhz,E_p90_mhz,E_max_mhz,dD_median_mhz,sigma_dev_median_gpa,edge_dist_median_nm,epistemic_level
octahedron,1.5,3,0.5,928,1.9845,2.9752,4.4816,-3.9844,0.53516,0.7851,L1
octahedron,1.5,3,1.0,224,0.6185,1.0505,1.4576,-3.7974,0.17550,1.2863,L1
octahedron,1.5,3,1.5,8,0.0321,0.0337,0.0338,-3.7571,0.00868,1.7242,L1
cube,1.5,3,0.5,1456,16.0718,31.8659,54.0499,23.8678,5.12305,0.6271,L1
cube,1.5,3,1.0,336,5.3888,10.7995,17.0392,19.3155,1.89535,1.0334,L1
cube,1.5,3,1.5,12,1.2620,1.7316,1.7840,17.7793,0.39501,1.3610,L1
rhombic-dodecahedron,1.5,3,0.5,2816,8.8885,14.2613,25.4056,-30.5334,2.69476,0.5703,L1
rhombic-dodecahedron,1.5,3,1.0,672,1.4015,2.7994,4.4482,-29.2207,0.43557,1.0021,L1
rhombic-dodecahedron,1.5,3,1.5,24,0.0969,0.1390,0.1411,-28.8647,0.02865,1.3602,L1
mixture,1.5,3,0.5,10768,13.2727,21.1536,36.3162,-8.7484,4.06040,0.4956,L1
mixture,1.5,3,1.0,2576,4.6153,7.9976,11.6219,-12.1374,1.41815,0.9945,L1
mixture,1.5,3,1.5,92,0.9527,1.5083,1.8002,-12.1079,0.31763,1.3597,L1
