family,miller,orbit,area_fraction,nx,ny,nz,surface_x_in_cubic,surface_y_in_cubic,tau_xx_surface_n_per_m,tau_yy_surface_n_per_m,tau_cubic_xx,tau_cubic_yy,tau_cubic_zz,tau_cubic_yz,tau_cubic_xz,tau_cubic_xy,epistemic_level
(100),-100,Td,0.027467,-1.000000,0.000000,0.000000,+0.0000 +0.7071 -0.7071,+0.0000 -0.7071 -0.7071,-1.032322,5.024064,0.000000,1.995871,1.995871,3.028193,0.000000,0.000000,L1
(100),0-10,Td,0.027467,0.000000,-1.000000,0.000000,+0.7071 +0.0000 -0.7071,-0.7071 +0.0000 -0.7071,-1.032322,5.024064,1.995871,0.000000,1.995871,0.000000,3.028193,0.000000,L1
(100),00-1,Td,0.027467,0.000000,0.000000,-1.000000,+0.7071 -0.7071 +0.0000,-0.7071 -0.7071 +0.0000,-1.032322,5.024064,1.995871,1.995871,0.000000,0.000000,0.000000,3.028193,L1
(100),001,Td,0.027467,0.000000,0.000000,1.000000,+0.7071 +0.7071 +0.0000,-0.7071 +0.7071 +0.0000,-1.032322,5.024064,1.995871,1.995871,0.000000,0.000000,0.000000,-3.028193,L1
(100),010,Td,0.027467,0.000000,1.000000,0.000000,+0.7071 +0.0000 +0.7071,-0.7071 +0.0000 +0.7071,-1.032322,5.024064,1.995871,0.000000,1.995871,0.000000,-3.028193,0.000000,L1
(100),100,Td,0.027467,1.000000,0.000000,0.000000,+0.0000 +0.7071 +0.7071,+0.0000 -0.7071 +0.7071,-1.032322,5.024064,0.000000,1.995871,1.995871,-3.028193,0.000000,0.000000,L1
(110),-1-10,Td,0.032268,-0.707107,-0.707107,0.000000,-0.7071 +0.7071 +0.0000,+0.0000 +0.0000 -1.0000,-2.144460,-4.397471,-1.072230,-1.072230,-4.397471,0.000000,0.000000,1.072230,L1
(110),-10-1,Td,0.032268,-0.707107,0.000000,-0.707107,-0.7071 +0.0000 +0.7071,+0.0000 -1.0000 +0.0000,-2.144460,-4.397471,-1.072230,-4.397471,-1.072230,0.000000,1.072230,0.000000,L1
(110),-101,Td,0.032268,-0.707107,0.000000,0.707107,-0.7071 +0.0000 -0.7071,+0.0000 +1.0000 +0.0000,-2.144460,-4.397471,-1.072230,-4.397471,-1.072230,0.000000,-1.072230,0.000000,L1
(110),-110,Td,0.032268,-0.707107,0.707107,0.000000,-0.7071 -0.7071 +0.0000,+0.0000 +0.0000 +1.0000,-2.144460,-4.397471,-1.072230,-1.072230,-4.397471,0.000000,0.000000,-1.072230,L1
(110),0-1-1,Td,0.032268,0.000000,-0.707107,-0.707107,+0.0000 -0.7071 +0.7071,-1.0000 +0.0000 +0.0000,-2.144460,-4.397471,-4.397471,-1.072230,-1.072230,1.072230,0.000000,0.000000,L1
(110),0-11,Td,0.032268,0.000000,-0.707107,0.707107,+0.0000 -0.7071 -0.7071,+1.0000 +0.0000 +0.0000,-2.144460,-4.397471,-4.397471,-1.072230,-1.072230,-1.072230,0.000000,0.000000,L1
(110),01-1,Td,0.032268,0.000000,0.707107,-0.707107,+0.0000 +0.7071 +0.7071,+1.0000 +0.0000 +0.0000,-2.144460,-4.397471,-4.397471,-1.072230,-1.072230,-1.072230,0.000000,0.000000,L1
(110),011,Td,0.032268,0.000000,0.707107,0.707107,+0.0000 +0.7071 -0.7071,-1.0000 +0.0000 +0.0000,-2.144460,-4.397471,-4.397471,-1.072230,-1.072230,1.072230,0.000000,0.000000,L1
(110),1-10,Td,0.032268,0.707107,-0.707107,0.000000,+0.7071 +0.7071 +0.0000,+0.0000 +0.0000 +1.0000,-2.144460,-4.397471,-1.072230,-1.072230,-4.397471,0.000000,0.000000,-1.072230,L1
(110),10-1,Td,0.032268,0.707107,0.000000,-0.707107,+0.7071 +0.0000 +0.7071,+0.0000 +1.0000 +0.0000,-2.144460,-4.397471,-1.072230,-4.397471,-1.072230,0.000000,-1.072230,0.000000,L1
(110),101,Td,0.032268,0.707107,0.000000,0.707107,+0.7071 +0.0000 -0.7071,+0.0000 -1.0000 +0.0000,-2.144460,-4.397471,-1.072230,-4.397471,-1.072230,0.000000,1.072230,0.000000,L1
(110),110,Td,0.032268,0.707107,0.707107,0.000000,+0.7071 -0.7071 +0.0000,+0.0000 +0.0000 -1.0000,-2.144460,-4.397471,-1.072230,-1.072230,-4.397471,0.000000,0.000000,1.072230,L1
(111),-1-11,Td,0.055998,-0.577350,-0.577350,0.577350,-0.7071 +0.7071 +0.0000,-0.4082 -0.4082 -0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,-0.161111,-0.161111,0.161111,L1
(111),-11-1,Td,0.055998,-0.577350,0.577350,-0.577350,-0.7071 -0.7071 +0.0000,-0.4082 +0.4082 +0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,-0.161111,0.161111,-0.161111,L1
(111),1-1-1,Td,0.055998,0.577350,-0.577350,-0.577350,+0.7071 +0.7071 +0.0000,+0.4082 -0.4082 +0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,0.161111,-0.161111,-0.161111,L1
(111),111,Td,0.055998,0.577350,0.577350,0.577350,+0.7071 -0.7071 +0.0000,+0.4082 +0.4082 -0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,0.161111,0.161111,0.161111,L1
(111),-1-1-1,Td*inversion,0.055998,-0.577350,-0.577350,-0.577350,-0.7071 +0.7071 +0.0000,-0.4082 -0.4082 +0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,0.161111,0.161111,0.161111,L1
(111),-111,Td*inversion,0.055998,-0.577350,0.577350,0.577350,-0.7071 -0.7071 +0.0000,-0.4082 +0.4082 -0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,0.161111,-0.161111,-0.161111,L1
(111),1-11,Td*inversion,0.055998,0.577350,-0.577350,0.577350,+0.7071 +0.7071 +0.0000,+0.4082 -0.4082 -0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,-0.161111,0.161111,-0.161111,L1
(111),11-1,Td*inversion,0.055998,0.577350,0.577350,-0.577350,+0.7071 -0.7071 +0.0000,+0.4082 +0.4082 +0.8165,-0.483334,-0.483334,-0.322223,-0.322223,-0.322223,-0.161111,-0.161111,0.161111,L1
