family,miller,orbit,area_fraction,nx,ny,nz,surface_x_in_cubic,surface_y_in_cubic,tau_xx_surface_n_per_m,tau_yy_surface_n_per_m,tau_cubic_xx,tau_cubic_yy,tau_cubic_zz,tau_cubic_yz,tau_cubic_xz,tau_cubic_xy,epistemic_level
(110),-1-10,Td,0.083333,-0.707107,-0.707107,0.000000,-0.7071 +0.7071 +0.0000,+0.0000 +0.0000 -1.0000,-2.144460,-4.397471,-1.072230,-1.072230,-4.397471,0.000000,0.000000,1.072230,L1
(110),-10-1,Td,0.083333,-0.707107,0.000000,-0.707107,-0.7071 +0.0000 +0.7071,+0.0000 -1.0000 +0.0000,-2.144460,-4.397471,-1.072230,-4.397471,-1.072230,0.000000,1.072230,0.000000,L1
(110),-101,Td,0.083333,-0.707107,0.000000,0.707107,-0.7071 +0.0000 -0.7071,+0.0000 +1.0000 +0.0000,-2.144460,-4.397471,-1.072230,-4.397471,-1.072230,0.000000,-1.072230,0.000000,L1
(110),-110,Td,0.083333,-0.707107,0.707107,0.000000,-0.7071 -0.7071 +0.0000,+0.0000 +0.0000 +1.0000,-2.144460,-4.397471,-1.072230,-1.072230,-4.397471,0.000000,0.000000,-1.072230,L1
(110),0-1-1,Td,0.083333,0.000000,-0.707107,-0.707107,+0.0000 -0.7071 +0.7071,-1.0000 +0.0000 +0.0000,-2.144460,-4.397471,-4.397471,-1.072230,-1.072230,1.072230,0.000000,0.000000,L1
(110),0-11,Td,0.083333,0.000000,-0.707107,0.707107,+0.0000 -0.7071 -0.7071,+1.0000 +0.0000 +0.0000,-2.144460,-4.397471,-4.397471,-1.072230,-1.072230,-1.072230,0.000000,0.000000,L1
(110),01-1,Td,0.083333,0.000000,0.707107,-0.707107,+0.0000 +0.7071 +0.7071,+1.0000 +0.0000 +0.0000,-2.144460,-4.397471,-4.397471,-1.072230,-1.072230,-1.072230,0.000000,0.000000,L1
(110),011,Td,0.083333,0.000000,0.707107,0.707107,+0.0000 +0.7071 -0.7071,-1.0000 +0.0000 +0.0000,-2.144460,-4.397471,-4.397471,-1.072230,-1.072230,1.072230,0.000000,0.000000,L1
(110),1-10,Td,0.083333,0.707107,-0.707107,0.000000,+0.7071 +0.7071 +0.0000,+0.0000 +0.0000 +1.0000,-2.144460,-4.397471,-1.072230,-1.072230,-4.397471,0.000000,0.000000,-1.072230,L1
(110),10-1,Td,0.083333,0.707107,0.000000,-0.707107,+0.7071 +0.0000 +0.7071,+0.0000 +1.0000 +0.0000,-2.144460,-4.397471,-1.072230,-4.397471,-1.072230,0.000000,-1.072230,0.000000,L1
(110),101,Td,0.083333,0.707107,0.000000,0.707107,+0.7071 +0.0000 -0.7071,+0.0000 -1.0000 +0.0000,-2.144460,-4.397471,-1.072230,-4.397471,-1.072230,0.000000,1.072230,0.000000,L1
(110),110,Td,0.083333,0.707107,0.707107,0.000000,+0.7071 -0.7071 +0.0000,+0.0000 +0.0000 -1.0000,-2.144460,-4.397471,-1.072230,-1.072230,-4.397471,0.000000,0.000000,1.072230,L1
