delta_mu_h_ev,gamma_100_j_m2,gamma_110_j_m2,gamma_111_j_m2,area_fraction_100,area_fraction_110,area_fraction_111,pressure_gpa,delta_D_band_lo_mhz,delta_D_band_hi_mhz,e_max_mhz
0.336793,0.895475,0.368982,0.000003,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.358986,0.951181,0.447762,0.064327,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.381179,1.006886,0.526541,0.128650,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.403373,1.062592,0.605321,0.192973,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.425566,1.118297,0.684101,0.257296,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.447760,1.174003,0.762880,0.321620,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.469953,1.229709,0.841660,0.385943,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.492146,1.285414,0.920439,0.450266,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.514340,1.341120,0.999219,0.514589,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.536533,1.396825,1.077999,0.578913,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.558727,1.452531,1.156778,0.643236,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.580920,1.508237,1.235558,0.707559,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.603113,1.563942,1.314337,0.771883,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.625307,1.619648,1.393117,0.836206,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.647500,1.675353,1.471897,0.900529,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.669693,1.731059,1.550676,0.964852,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.691887,1.786765,1.629456,1.029176,0.000000,0.000000,1.000000,-0.644445,-8.472638,-5.122514,0.000000
0.714080,1.842470,1.708235,1.093499,0.001283,0.000000,0.998717,-0.640204,-8.416875,-5.088800,0.000000
0.736274,1.898176,1.787015,1.157822,0.004970,0.000000,0.995030,-0.628016,-8.256633,-4.991918,0.000000
0.758467,1.953881,1.865795,1.222145,0.010340,0.000000,0.989660,-0.610266,-8.023279,-4.850834,0.000000
0.780660,2.009587,1.944574,1.286469,0.016883,0.000000,0.983117,-0.588637,-7.738918,-4.678910,0.000000
0.802854,2.065293,2.023354,1.350792,0.024239,0.000000,0.975761,-0.564322,-7.419246,-4.485638,0.000000
0.825047,2.120998,2.102134,1.415115,0.032146,0.000000,0.967854,-0.538183,-7.075589,-4.277865,0.000000
0.847241,2.176704,2.180913,1.479439,0.040415,0.000000,0.959585,-0.510849,-6.716228,-4.060598,0.000000
0.869434,2.232409,2.259693,1.543762,0.048904,0.000000,0.951096,-0.482786,-6.347280,-3.837533,0.000000
0.891627,2.288115,2.338472,1.608085,0.057510,0.000000,0.942490,-0.454340,-5.973293,-3.611423,0.000000
0.913821,2.343821,2.417252,1.672408,0.066153,0.000000,0.933847,-0.425769,-5.597668,-3.384322,0.000000
0.936014,2.399526,2.496032,1.736732,0.074775,0.000000,0.925225,-0.397268,-5.222952,-3.157770,0.000000
0.958208,2.455232,2.574811,1.801055,0.083333,0.000000,0.916667,-0.368980,-4.851052,-2.932922,0.000000
0.980401,2.510937,2.653591,1.865378,0.091793,0.000000,0.908207,-0.341015,-4.483391,-2.710635,0.000000
1.002594,2.566643,2.732370,1.929701,0.100131,0.000000,0.899869,-0.313453,-4.121019,-2.491547,0.000000
1.024788,2.622349,2.811150,1.994025,0.108329,0.000000,0.891671,-0.286351,-3.764706,-2.276122,0.000000
1.046981,2.678054,2.889930,2.058348,0.116376,0.000000,0.883624,-0.259751,-3.414999,-2.064691,0.000000
1.069175,2.733760,2.968709,2.122671,0.124262,0.000000,0.875738,-0.233683,-3.072278,-1.857483,0.000000
1.091368,2.789465,3.047489,2.186995,0.131982,0.000000,0.868018,-0.208166,-2.736789,-1.654649,0.000000
1.113561,2.845171,3.126268,2.251318,0.139532,0.000000,0.860468,-0.183209,-2.408679,-1.456275,0.000000
1.135755,2.900877,3.205048,2.315641,0.146910,0.000000,0.853090,-0.158818,-2.088010,-1.262400,0.000000
1.157948,2.956582,3.283828,2.379964,0.154117,0.000000,0.845883,-0.134994,-1.774787,-1.073027,0.000000
1.180142,3.012288,3.362607,2.444288,0.161154,0.000000,0.838846,-0.111732,-1.468965,-0.888129,0.000000
1.202335,3.067993,3.441387,2.508611,0.168023,0.000000,0.831977,-0.089028,-1.170463,-0.707656,0.000000
1.224528,3.123699,3.520166,2.572934,0.174726,0.000000,0.825274,-0.066871,-0.879170,-0.531542,0.000000
1.246722,3.179405,3.598946,2.637257,0.181265,0.000000,0.818735,-0.045254,-0.594957,-0.359708,0.000000
1.268915,3.235110,3.677726,2.701581,0.187646,0.000000,0.812354,-0.024163,-0.317676,-0.192066,0.000000
1.291109,3.290816,3.756505,2.765904,0.193870,0.000000,0.806130,-0.003588,-0.047172,-0.028520,0.000000
1.313302,3.346521,3.835285,2.830227,0.199942,0.000000,0.800058,0.016484,0.131029,0.216722,0.000000
1.335495,3.402227,3.914064,2.894551,0.205866,0.000000,0.794134,0.036067,0.286683,0.474174,0.000000
1.357689,3.457933,3.992844,2.958874,0.211646,0.000000,0.788354,0.055172,0.438549,0.725359,0.000000
1.379882,3.513638,4.071624,3.023197,0.217285,0.000000,0.782715,0.073814,0.586729,0.970450,0.000000
1.402076,3.569344,4.150403,3.087520,0.222789,0.000000,0.777211,0.092006,0.731330,1.209619,0.000000
1.424269,3.625049,4.229183,3.151844,0.228160,0.000000,0.771840,0.109760,0.872454,1.443039,0.000000
1.446462,3.680755,4.307963,3.216167,0.233402,0.000000,0.766598,0.127090,1.010205,1.670879,0.000000
1.468656,3.736461,4.386742,3.280490,0.238520,0.000000,0.761480,0.144009,1.144683,1.893307,0.000000
1.490849,3.792166,4.465522,3.344813,0.243517,0.000000,0.756483,0.160527,1.275988,2.110483,0.000000
1.513043,3.847872,4.544301,3.409137,0.248398,0.000000,0.751602,0.176659,1.404214,2.322569,0.000000
1.535236,3.903577,4.623081,3.473460,0.253164,0.000000,0.746836,0.192415,1.529456,2.529720,0.000000
1.557429,3.959283,4.701861,3.537783,0.257820,0.000000,0.742180,0.207808,1.651805,2.732085,0.000000
1.579623,4.014989,4.780640,3.602107,0.262370,0.000000,0.737630,0.222847,1.771350,2.929813,0.000000
1.601816,4.070694,4.859420,3.666430,0.266816,0.000000,0.733184,0.237545,1.888177,3.123044,0.000000
1.624009,4.126400,4.938199,3.730753,0.271162,0.000000,0.728838,0.251911,2.002369,3.311918,0.000000
1.646203,4.182105,5.016979,3.795076,0.275411,0.000000,0.724589,0.265956,2.114006,3.496566,0.000000
1.668396,4.237811,5.095759,3.859400,0.279566,0.000000,0.720434,0.279689,2.223167,3.677118,0.000000
1.690590,4.293517,5.174538,3.923723,0.283629,0.000000,0.716371,0.293120,2.329927,3.853699,0.000000
1.712783,4.349222,5.253318,3.988046,0.287603,0.000000,0.712397,0.306258,2.434359,4.026429,0.000000
1.734976,4.404928,5.332097,4.052369,0.291492,0.000000,0.708508,0.319112,2.536532,4.195425,0.000000
1.757170,4.460633,5.410877,4.116693,0.295297,0.000000,0.704703,0.331691,2.636516,4.360798,0.000000
1.779363,4.516339,5.489657,4.181016,0.299021,0.000000,0.700979,0.344002,2.734375,4.522657,0.000000
1.801557,4.572045,5.568436,4.245339,0.302667,0.000000,0.697333,0.356054,2.830173,4.681107,0.000000
1.823750,4.627750,5.647216,4.309663,0.306237,0.000000,0.693763,0.367854,2.923971,4.836248,0.000000
1.845943,4.683456,5.725995,4.373986,0.309733,0.000000,0.690267,0.379411,3.015827,4.988178,0.000000
1.868137,4.739161,5.804775,4.438309,0.313157,0.000000,0.686843,0.390730,3.105799,5.136991,0.000000
1.890330,4.794867,5.883555,4.502632,0.316512,0.000000,0.683488,0.401818,3.193941,5.282778,0.000000
1.912524,4.850573,5.962334,4.566956,0.319799,0.000000,0.680201,0.412684,3.280305,5.425625,0.000000
1.934717,4.906278,6.041114,4.631279,0.323020,0.000000,0.676980,0.423332,3.364944,5.565618,0.000000
1.956910,4.961984,6.119893,4.695602,0.326177,0.000000,0.673823,0.433769,3.447906,5.702837,0.000000
1.979104,5.017689,6.198673,4.759925,0.329273,0.000000,0.670727,0.444001,3.529239,5.837361,0.000000
2.001297,5.073395,6.277453,4.824249,0.332308,0.000000,0.667692,0.454034,3.608988,5.969267,0.000000
2.023491,5.129101,6.356232,4.888572,0.335284,0.000000,0.664716,0.463873,3.687198,6.098626,0.000000
2.045684,5.184806,6.435012,4.952895,0.338204,0.000000,0.661796,0.473524,3.763912,6.225510,0.000000
2.067877,5.240512,6.513792,5.017219,0.341068,0.000000,0.658932,0.482992,3.839170,6.349987,0.000000
2.090071,5.296217,6.592571,5.081542,0.343879,0.000000,0.656121,0.492282,3.913012,6.472122,0.000000
2.112264,5.351923,6.671351,5.145865,0.346637,0.000000,0.653363,0.501399,3.985477,6.591979,0.000000
2.134458,5.407629,6.750130,5.210188,0.349343,0.000000,0.650657,0.510347,4.056602,6.709620,0.000000
2.156651,5.463334,6.828910,5.274512,0.352001,0.000000,0.647999,0.519131,4.126423,6.825103,0.000000
2.178844,5.519040,6.907690,5.338835,0.354610,0.000000,0.645390,0.527755,4.194974,6.938487,0.000000
2.201038,5.574745,6.986469,5.403158,0.357172,0.000000,0.642828,0.536223,4.262289,7.049825,0.000000
2.223231,5.630451,7.065249,5.467481,0.359688,0.000000,0.640312,0.544541,4.328400,7.159173,0.000000
2.245425,5.686157,7.144028,5.531805,0.362159,0.000000,0.637841,0.552710,4.393338,7.266581,0.000000
2.267618,5.741862,7.222808,5.596128,0.364587,0.000000,0.635413,0.560736,4.457134,7.372099,0.000000
2.289811,5.797568,7.301588,5.660451,0.366973,0.000000,0.633027,0.568622,4.519817,7.475777,0.000000
2.312005,5.853273,7.380367,5.724775,0.369317,0.000000,0.630683,0.576372,4.581415,7.577660,0.000000
2.334198,5.908979,7.459147,5.789098,0.371621,0.000000,0.628379,0.583988,4.641955,7.677794,0.000000
