shape,radius_nm,diameter_nm,inverse_radius_per_nm,lattice_strain_percent,lattice_parameter_angstrom,delta_a_angstrom,pressure_gpa,spin_strain_param_set,delta_D_mhz,delta_D_spread_over_axes_mhz,E_max_mhz,coupling_independent_columns,epistemic_level
cube,0.7500,1.5000,1.333333,-0.401382,3.558656,-0.014341,5.32232,udvarhelyi2018_dft,42.3056,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,0.7500,1.5000,1.333333,-0.401382,3.558656,-0.014341,5.32232,barson2017_scaled,69.9735,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,1.0000,2.0000,1.000000,-0.301036,3.562241,-0.010756,3.99174,udvarhelyi2018_dft,31.7292,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,1.0000,2.0000,1.000000,-0.301036,3.562241,-0.010756,3.99174,barson2017_scaled,52.4801,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,1.5000,3.0000,0.666667,-0.200691,3.565827,-0.007171,2.66116,udvarhelyi2018_dft,21.1528,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,1.5000,3.0000,0.666667,-0.200691,3.565827,-0.007171,2.66116,barson2017_scaled,34.9868,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,2.0000,4.0000,0.500000,-0.150518,3.567619,-0.005378,1.99587,udvarhelyi2018_dft,15.8646,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,2.0000,4.0000,0.500000,-0.150518,3.567619,-0.005378,1.99587,barson2017_scaled,26.2401,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,2.5000,5.0000,0.400000,-0.120415,3.568695,-0.004302,1.59670,udvarhelyi2018_dft,12.6917,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,2.5000,5.0000,0.400000,-0.120415,3.568695,-0.004302,1.59670,barson2017_scaled,20.9921,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,3.0000,6.0000,0.333333,-0.100345,3.569412,-0.003585,1.33058,udvarhelyi2018_dft,10.5764,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,3.0000,6.0000,0.333333,-0.100345,3.569412,-0.003585,1.33058,barson2017_scaled,17.4934,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,4.0000,8.0000,0.250000,-0.075259,3.570308,-0.002689,0.99794,udvarhelyi2018_dft,7.9323,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,4.0000,8.0000,0.250000,-0.075259,3.570308,-0.002689,0.99794,barson2017_scaled,13.1200,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,5.0000,10.0000,0.200000,-0.060207,3.570846,-0.002151,0.79835,udvarhelyi2018_dft,6.3458,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,5.0000,10.0000,0.200000,-0.060207,3.570846,-0.002151,0.79835,barson2017_scaled,10.4960,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,7.5000,15.0000,0.133333,-0.040138,3.571563,-0.001434,0.53223,udvarhelyi2018_dft,4.2306,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,7.5000,15.0000,0.133333,-0.040138,3.571563,-0.001434,0.53223,barson2017_scaled,6.9974,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,10.0000,20.0000,0.100000,-0.030104,3.571922,-0.001076,0.39917,udvarhelyi2018_dft,3.1729,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,10.0000,20.0000,0.100000,-0.030104,3.571922,-0.001076,0.39917,barson2017_scaled,5.2480,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,15.0000,30.0000,0.066667,-0.020069,3.572280,-0.000717,0.26612,udvarhelyi2018_dft,2.1153,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,15.0000,30.0000,0.066667,-0.020069,3.572280,-0.000717,0.26612,barson2017_scaled,3.4987,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,20.0000,40.0000,0.050000,-0.015052,3.572460,-0.000538,0.19959,udvarhelyi2018_dft,1.5865,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
cube,20.0000,40.0000,0.050000,-0.015052,3.572460,-0.000538,0.19959,barson2017_scaled,2.6240,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
