shape,radius_nm,diameter_nm,inverse_radius_per_nm,lattice_strain_percent,lattice_parameter_angstrom,delta_a_angstrom,pressure_gpa,spin_strain_param_set,delta_D_mhz,delta_D_spread_over_axes_mhz,E_max_mhz,coupling_independent_columns,epistemic_level
mixture,0.7500,1.5000,1.333333,0.232110,3.581291,0.008293,-3.07777,udvarhelyi2018_dft,-24.4644,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,0.7500,1.5000,1.333333,0.232110,3.581291,0.008293,-3.07777,barson2017_scaled,-40.4640,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,1.0000,2.0000,1.000000,0.174082,3.579217,0.006220,-2.30833,udvarhelyi2018_dft,-18.3483,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,1.0000,2.0000,1.000000,0.174082,3.579217,0.006220,-2.30833,barson2017_scaled,-30.3480,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,1.5000,3.0000,0.666667,0.116055,3.577144,0.004147,-1.53889,udvarhelyi2018_dft,-12.2322,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,1.5000,3.0000,0.666667,0.116055,3.577144,0.004147,-1.53889,barson2017_scaled,-20.2320,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,2.0000,4.0000,0.500000,0.087041,3.576107,0.003110,-1.15417,udvarhelyi2018_dft,-9.1741,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,2.0000,4.0000,0.500000,0.087041,3.576107,0.003110,-1.15417,barson2017_scaled,-15.1740,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,2.5000,5.0000,0.400000,0.069633,3.575485,0.002488,-0.92333,udvarhelyi2018_dft,-7.3393,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,2.5000,5.0000,0.400000,0.069633,3.575485,0.002488,-0.92333,barson2017_scaled,-12.1392,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,3.0000,6.0000,0.333333,0.058027,3.575071,0.002073,-0.76944,udvarhelyi2018_dft,-6.1161,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,3.0000,6.0000,0.333333,0.058027,3.575071,0.002073,-0.76944,barson2017_scaled,-10.1160,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,4.0000,8.0000,0.250000,0.043521,3.574552,0.001555,-0.57708,udvarhelyi2018_dft,-4.5871,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,4.0000,8.0000,0.250000,0.043521,3.574552,0.001555,-0.57708,barson2017_scaled,-7.5870,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,5.0000,10.0000,0.200000,0.034816,3.574241,0.001244,-0.46167,udvarhelyi2018_dft,-3.6697,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,5.0000,10.0000,0.200000,0.034816,3.574241,0.001244,-0.46167,barson2017_scaled,-6.0696,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,7.5000,15.0000,0.133333,0.023211,3.573827,0.000829,-0.30778,udvarhelyi2018_dft,-2.4464,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,7.5000,15.0000,0.133333,0.023211,3.573827,0.000829,-0.30778,barson2017_scaled,-4.0464,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,10.0000,20.0000,0.100000,0.017408,3.573619,0.000622,-0.23083,udvarhelyi2018_dft,-1.8348,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,10.0000,20.0000,0.100000,0.017408,3.573619,0.000622,-0.23083,barson2017_scaled,-3.0348,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,15.0000,30.0000,0.066667,0.011605,3.573412,0.000415,-0.15389,udvarhelyi2018_dft,-1.2232,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,15.0000,30.0000,0.066667,0.011605,3.573412,0.000415,-0.15389,barson2017_scaled,-2.0232,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,20.0000,40.0000,0.050000,0.008704,3.573308,0.000311,-0.11542,udvarhelyi2018_dft,-0.9174,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
mixture,20.0000,40.0000,0.050000,0.008704,3.573308,0.000311,-0.11542,barson2017_scaled,-1.5174,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
