shape,radius_nm,diameter_nm,inverse_radius_per_nm,lattice_strain_percent,lattice_parameter_angstrom,delta_a_angstrom,pressure_gpa,spin_strain_param_set,delta_D_mhz,delta_D_spread_over_axes_mhz,E_max_mhz,coupling_independent_columns,epistemic_level
octahedron,0.7500,1.5000,1.333333,0.097201,3.576470,0.003473,-1.28889,udvarhelyi2018_dft,-10.2450,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,0.7500,1.5000,1.333333,0.097201,3.576470,0.003473,-1.28889,barson2017_scaled,-16.9453,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,1.0000,2.0000,1.000000,0.072901,3.575602,0.002605,-0.96667,udvarhelyi2018_dft,-7.6838,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,1.0000,2.0000,1.000000,0.072901,3.575602,0.002605,-0.96667,barson2017_scaled,-12.7090,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,1.5000,3.0000,0.666667,0.048601,3.574734,0.001737,-0.64445,udvarhelyi2018_dft,-5.1225,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,1.5000,3.0000,0.666667,0.048601,3.574734,0.001737,-0.64445,barson2017_scaled,-8.4726,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,2.0000,4.0000,0.500000,0.036451,3.574300,0.001302,-0.48333,udvarhelyi2018_dft,-3.8419,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,2.0000,4.0000,0.500000,0.036451,3.574300,0.001302,-0.48333,barson2017_scaled,-6.3545,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,2.5000,5.0000,0.400000,0.029160,3.574039,0.001042,-0.38667,udvarhelyi2018_dft,-3.0735,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,2.5000,5.0000,0.400000,0.029160,3.574039,0.001042,-0.38667,barson2017_scaled,-5.0836,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,3.0000,6.0000,0.333333,0.024300,3.573866,0.000868,-0.32222,udvarhelyi2018_dft,-2.5613,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,3.0000,6.0000,0.333333,0.024300,3.573866,0.000868,-0.32222,barson2017_scaled,-4.2363,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,4.0000,8.0000,0.250000,0.018225,3.573649,0.000651,-0.24167,udvarhelyi2018_dft,-1.9209,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,4.0000,8.0000,0.250000,0.018225,3.573649,0.000651,-0.24167,barson2017_scaled,-3.1772,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,5.0000,10.0000,0.200000,0.014580,3.573518,0.000521,-0.19333,udvarhelyi2018_dft,-1.5368,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,5.0000,10.0000,0.200000,0.014580,3.573518,0.000521,-0.19333,barson2017_scaled,-2.5418,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,7.5000,15.0000,0.133333,0.009720,3.573345,0.000347,-0.12889,udvarhelyi2018_dft,-1.0245,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,7.5000,15.0000,0.133333,0.009720,3.573345,0.000347,-0.12889,barson2017_scaled,-1.6945,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,10.0000,20.0000,0.100000,0.007290,3.573258,0.000260,-0.09667,udvarhelyi2018_dft,-0.7684,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,10.0000,20.0000,0.100000,0.007290,3.573258,0.000260,-0.09667,barson2017_scaled,-1.2709,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,15.0000,30.0000,0.066667,0.004860,3.573171,0.000174,-0.06444,udvarhelyi2018_dft,-0.5123,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,15.0000,30.0000,0.066667,0.004860,3.573171,0.000174,-0.06444,barson2017_scaled,-0.8473,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,20.0000,40.0000,0.050000,0.003645,3.573128,0.000130,-0.04833,udvarhelyi2018_dft,-0.3842,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
octahedron,20.0000,40.0000,0.050000,0.003645,3.573128,0.000130,-0.04833,barson2017_scaled,-0.6354,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
