shape,radius_nm,diameter_nm,inverse_radius_per_nm,lattice_strain_percent,lattice_parameter_angstrom,delta_a_angstrom,pressure_gpa,spin_strain_param_set,delta_D_mhz,delta_D_spread_over_axes_mhz,E_max_mhz,coupling_independent_columns,epistemic_level
rhombic-dodecahedron,0.7500,1.5000,1.333333,0.657811,3.596501,0.023504,-8.72257,udvarhelyi2018_dft,-69.3333,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,0.7500,1.5000,1.333333,0.657811,3.596501,0.023504,-8.72257,barson2017_scaled,-114.6773,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,1.0000,2.0000,1.000000,0.493358,3.590625,0.017628,-6.54193,udvarhelyi2018_dft,-52.0000,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,1.0000,2.0000,1.000000,0.493358,3.590625,0.017628,-6.54193,barson2017_scaled,-86.0079,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,1.5000,3.0000,0.666667,0.328906,3.584749,0.011752,-4.36129,udvarhelyi2018_dft,-34.6666,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,1.5000,3.0000,0.666667,0.328906,3.584749,0.011752,-4.36129,barson2017_scaled,-57.3386,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,2.0000,4.0000,0.500000,0.246679,3.581811,0.008814,-3.27097,udvarhelyi2018_dft,-26.0000,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,2.0000,4.0000,0.500000,0.246679,3.581811,0.008814,-3.27097,barson2017_scaled,-43.0040,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,2.5000,5.0000,0.400000,0.197343,3.580049,0.007051,-2.61677,udvarhelyi2018_dft,-20.8000,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,2.5000,5.0000,0.400000,0.197343,3.580049,0.007051,-2.61677,barson2017_scaled,-34.4032,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,3.0000,6.0000,0.333333,0.164453,3.578873,0.005876,-2.18064,udvarhelyi2018_dft,-17.3333,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,3.0000,6.0000,0.333333,0.164453,3.578873,0.005876,-2.18064,barson2017_scaled,-28.6693,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,4.0000,8.0000,0.250000,0.123340,3.577404,0.004407,-1.63548,udvarhelyi2018_dft,-13.0000,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,4.0000,8.0000,0.250000,0.123340,3.577404,0.004407,-1.63548,barson2017_scaled,-21.5020,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,5.0000,10.0000,0.200000,0.098672,3.576523,0.003526,-1.30839,udvarhelyi2018_dft,-10.4000,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
rhombic-dodecahedron,5.0000,10.0000,0.200000,0.098672,3.576523,0.003526,-1.30839,barson2017_scaled,-17.2016,0.000000,0.000000,lattice_strain_percent lattice_parameter_angstrom delta_a_angstrom pressure_gpa,L1
