delta_mu_h_ev,gamma_C100_j_m2,gamma_C110_j_m2,gamma_C111_j_m2,most_stable,ordering,all_positive,wulff_defined
0.0,0.05012282789244918,-0.8265257562401108,-0.9761254860694976,C111,C111 < C110 < C100,False,False
0.025,0.11287302498360702,-0.7377835763970154,-0.9036677997884596,C111,C111 < C110 < C100,False,False
0.05,0.17562322207476486,-0.64904139655392,-0.8312101135074216,C111,C111 < C110 < C100,False,False
0.07500000000000001,0.2383734191659227,-0.5602992167108245,-0.7587524272263836,C111,C111 < C110 < C100,False,False
0.1,0.3011236162570805,-0.4715570368677292,-0.6862947409453456,C111,C111 < C110 < C100,False,False
0.125,0.3638738133482383,-0.3828148570246338,-0.6138370546643076,C111,C111 < C110 < C100,False,False
0.15000000000000002,0.42662401043939624,-0.2940726771815383,-0.5413793683832695,C111,C111 < C110 < C100,False,False
0.17500000000000002,0.48937420753055405,-0.20533049733844289,-0.4689216821022316,C111,C111 < C110 < C100,False,False
0.2,0.5521244046217119,-0.1165883174953476,-0.3964639958211936,C111,C111 < C110 < C100,False,False
0.225,0.6148746017128697,-0.02784613765225219,-0.32400630954015563,C111,C111 < C110 < C100,False,False
0.25,0.6776247988040275,0.060896042190843214,-0.25154862325911764,C111,C111 < C110 < C100,False,False
0.275,0.7403749958951854,0.14963822203393873,-0.17909093697807954,C111,C111 < C110 < C100,False,False
0.30000000000000004,0.8031251929863432,0.23838040187703424,-0.10663325069704155,C111,C111 < C110 < C100,False,False
0.325,0.865875390077501,0.3271225817201294,-0.03417556441600367,C111,C111 < C110 < C100,False,False
0.35000000000000003,0.928625587168659,0.41586476156322505,0.038282121865034324,C111,C111 < C110 < C100,True,True
0.375,0.9913757842598167,0.5046069414063202,0.11073980814607232,C111,C111 < C110 < C100,True,True
0.4,1.0541259813509747,0.5933491212494156,0.1831974944271103,C111,C111 < C110 < C100,True,True
0.42500000000000004,1.1168761784421326,0.6820913010925113,0.2556551807081485,C111,C111 < C110 < C100,True,True
0.45,1.1796263755332903,0.7708334809356064,0.3281128669891863,C111,C111 < C110 < C100,True,True
0.47500000000000003,1.2423765726244482,0.8595756607787021,0.4005705532702243,C111,C111 < C110 < C100,True,True
0.5,1.305126769715606,0.9483178406217972,0.4730282395512623,C111,C111 < C110 < C100,True,True
0.525,1.3678769668067638,1.0370600204648928,0.5454859258323003,C111,C111 < C110 < C100,True,True
0.55,1.4306271638979218,1.1258022003079882,0.6179436121133385,C111,C111 < C110 < C100,True,True
0.5750000000000001,1.4933773609890797,1.214544380151084,0.6904012983943765,C111,C111 < C110 < C100,True,True
0.6000000000000001,1.5561275580802374,1.3032865599941794,0.7628589846754145,C111,C111 < C110 < C100,True,True
0.625,1.618877755171395,1.3920287398372744,0.8353166709564522,C111,C111 < C110 < C100,True,True
0.65,1.681627952262553,1.4807709196803698,0.9077743572374902,C111,C111 < C110 < C100,True,True
0.675,1.744378149353711,1.5695130995234652,0.9802320435185284,C111,C111 < C110 < C100,True,True
0.7000000000000001,1.8071283464448689,1.658255279366561,1.052689729799566,C111,C111 < C110 < C100,True,True
0.7250000000000001,1.8698785435360266,1.7469974592096564,1.1251474160806043,C111,C111 < C110 < C100,True,True
0.75,1.9326287406271843,1.8357396390527514,1.197605102361642,C111,C111 < C110 < C100,True,True
0.775,1.9953789377183422,1.9244818188958468,1.2700627886426803,C111,C111 < C110 < C100,True,True
0.8,2.0581291348095,2.013223998738942,1.342520474923718,C111,C111 < C110 < C100,True,True
0.8250000000000001,2.120879331900658,2.101966178582038,1.4149781612047563,C111,C111 < C110 < C100,True,True
0.8500000000000001,2.183629528991816,2.1907083584251335,1.4874358474857945,C111,C111 < C100 < C110,True,True
0.875,2.2463797260829734,2.2794505382682284,1.5598935337668318,C111,C111 < C100 < C110,True,True
0.9,2.3091299231741313,2.368192718111324,1.63235122004787,C111,C111 < C100 < C110,True,True
0.925,2.3718801202652893,2.456934897954419,1.7048089063289082,C111,C111 < C100 < C110,True,True
0.9500000000000001,2.434630317356447,2.545677077797515,1.777266592609946,C111,C111 < C100 < C110,True,True
0.9750000000000001,2.497380514447605,2.6344192576406105,1.8497242788909842,C111,C111 < C100 < C110,True,True
1.0,2.5601307115387626,2.7231614374837054,1.922181965172022,C111,C111 < C100 < C110,True,True
1.0250000000000001,2.622880908629921,2.8119036173268013,1.9946396514530602,C111,C111 < C100 < C110,True,True
1.05,2.6856311057210784,2.9006457971698962,2.067097337734098,C111,C111 < C100 < C110,True,True
1.075,2.748381302812236,2.9893879770129916,2.1395550240151358,C111,C111 < C100 < C110,True,True
1.1,2.8111314999033943,3.0781301568560875,2.2120127102961744,C111,C111 < C100 < C110,True,True
1.125,2.8738816969945518,3.1668723366991824,2.284470396577212,C111,C111 < C100 < C110,True,True
1.1500000000000001,2.93663189408571,3.2556145165422787,2.3569280828582504,C111,C111 < C100 < C110,True,True
1.175,2.9993820911768676,3.3443566963853737,2.429385769139288,C111,C111 < C100 < C110,True,True
1.2000000000000002,3.0621322882680255,3.4330988762284695,2.5018434554203264,C111,C111 < C100 < C110,True,True
1.225,3.1248824853591834,3.5218410560715645,2.574301141701364,C111,C111 < C100 < C110,True,True
1.25,3.187632682450341,3.6105832359146595,2.646758827982402,C111,C111 < C100 < C110,True,True
1.2750000000000001,3.2503828795414993,3.6993254157577553,2.71921651426344,C111,C111 < C100 < C110,True,True
