surface,layers,run,in_fit,n_C,n_H,cell_area_angstrom2,Lz_angstrom,thickness_atomic_angstrom,thickness_geometric_angstrom,sigma_xx_kbar,sigma_yy_kbar,sigma_xx_Lz_kbar_angstrom,sigma_yy_Lz_kbar_angstrom,residual_xx_kbar_angstrom,residual_yy_kbar_angstrom
C100,6,thick_a0corr_stress~C100_6L_stress_scf,False,12,4,12.766308,14.500401,5.359498,4.356197,19.130,-89.170,277.3927,-1293.0007,73.2045,-287.4309
C100,8,thick_a0corr_stress~C100_8L_stress_scf,True,16,4,12.766308,16.286899,7.145997,6.125811,12.370,-61.370,201.4689,-999.5270,-1.9604,6.2951
C100,10,thick_a0corr_stress~C100_10L_stress_scf,True,20,4,12.766308,18.073398,8.932496,7.901144,11.400,-56.190,206.0367,-1015.5442,3.3661,-9.4698
C100,12,thick_a0corr_stress~C100_12L_stress_scf,True,24,4,12.766308,19.859896,10.718995,9.684018,10.110,-50.590,200.7836,-1004.7122,-1.1283,1.6145
C100,16,thick_a0corr_stress~C100_16L_stress_scf,True,32,4,12.766308,23.432893,14.291994,13.255440,8.540,-42.900,200.1169,-1005.2711,-0.2774,1.5602
C110,6,thick_a0corr_stress~C110_6L_stress_scf,False,12,4,9.027143,16.096189,7.579474,6.265012,26.570,54.480,427.6757,876.9204,0.1388,-0.0325
C110,8,thick_a0corr_stress~C110_8L_stress_scf,True,16,4,9.027143,18.622679,10.105966,8.791600,22.930,47.030,427.0180,875.8246,-0.0672,-0.2812
C110,10,thick_a0corr_stress~C110_10L_stress_scf,True,20,4,9.027143,21.149169,12.632457,11.317880,20.170,41.390,426.5787,875.3641,-0.0548,0.1055
C110,12,thick_a0corr_stress~C110_12L_stress_scf,True,24,4,9.027143,23.675660,15.158948,13.844290,18.010,36.950,426.3986,874.8156,0.2167,0.4041
C110,16,thick_a0corr_stress~C110_16L_stress_scf,True,32,4,9.027143,28.728641,20.211931,18.897513,14.800,30.370,425.1839,872.4888,-0.0947,-0.2284
C111,6,thick_a0corr_stress~C111_6L_stress_scf,False,6,2,5.527973,14.821459,6.188615,4.597638,6.610,6.610,97.9698,97.9698,3.5446,3.5446
C111,8,thick_a0corr_stress~C111_8L_stress_scf,True,8,2,5.527973,16.884330,8.251486,6.660523,5.580,5.580,94.2146,94.2146,0.5364,0.5364
C111,10,thick_a0corr_stress~C111_10L_stress_scf,True,10,2,5.527973,18.947201,10.314358,8.723562,4.880,4.880,92.4623,92.4623,-0.4687,-0.4687
C111,12,thick_a0corr_stress~C111_12L_stress_scf,True,12,2,5.527973,21.010072,12.377230,10.786261,4.370,4.370,91.8140,91.8140,-0.3698,-0.3698
C111,16,thick_a0corr_stress~C111_16L_stress_scf,True,16,2,5.527973,25.135813,16.502973,14.912129,3.620,3.620,90.9916,90.9916,0.3021,0.3021
