folder_name,orientation,termination,formula,pseudo_consistency,cutoff_notes,relax_converged,complete,needs_attention,cell_area_angstrom2,cell_height_angstrom,carbon_thickness_angstrom,vacuum_estimate_angstrom,stress_xx_kbar,stress_yy_kbar,stress_zz_kbar,stress_xy_kbar,inplane_mean_stress_kbar,inplane_anisotropy_kbar,tau_xx_n_per_m,tau_yy_n_per_m,tau_xy_n_per_m,tau_mean_n_per_m,tau_anisotropy_n_per_m,qe_pressure_kbar,effective_inplane_pressure_kbar,stress_interpretation,raman_relevance
C100_2x1_H_6L_sym,(100),H,C24H8,ok,ecutwfc_below_reference; ecutrho_below_reference,True,True,False,25.541820001317067,14.50130008,4.291910851099999,10.209389228900001,,,,,,,,,,,,,,unknown,use_for_clean_H_baseline
C100_2x1_H_6L_sym_strain_biaxial_m0p005_scf,(100),H,C24H8,ok,ecutwfc_below_reference; ecutrho_below_reference,,True,False,25.287040346301065,14.50130008,4.291910851099999,10.209389228900001,28.87,-29.56,2.02,0.0,-0.34499999999999886,58.43,2.093262666548,-2.1432921518240002,0.0,-0.02501474263799992,4.236554818372,0.44,-0.34499999999999886,near_zero_inplane_mean_stress,use_for_clean_H_baseline
C100_2x1_H_6L_sym_strain_biaxial_m0p010_scf,(100),H,C24H8,ok,ecutwfc_below_reference; ecutrho_below_reference,,True,False,25.03353778329086,14.50130008,4.291910851099999,10.209389228900001,52.59,-7.47,6.51,0.0,22.560000000000002,60.06,3.8131168560360007,-0.541623557988,0.0,1.6357466490240002,4.3547404140240005,17.21,22.560000000000002,compressive_inplane_pressure_like,use_for_clean_H_baseline
C100_2x1_H_6L_sym_strain_biaxial_p0p000_scf,(100),H,C24H8,ok,ecutwfc_below_reference; ecutrho_below_reference,,True,False,25.541820001317067,14.50130008,4.291910851099999,10.209389228900001,6.11,-50.71,-2.23,0.0,-22.3,56.82,0.44301471744400006,-3.6768046352840003,0.0,-1.6168949589200001,4.119819352728,-15.61,-22.3,tensile_inplane_stress_like,use_for_clean_H_baseline
C100_2x1_H_6L_sym_strain_biaxial_p0p005_scf,(100),H,C24H8,ok,ecutwfc_below_reference; ecutrho_below_reference,,True,False,25.79787674632235,14.50130008,4.291910851099999,10.209389228900001,-15.69,-70.94,-6.26,0.0,-43.315,55.25,-1.137626991276,-5.143611138376,0.0,-3.140619064826,4.0059841471,-30.96,-43.315,tensile_inplane_stress_like,use_for_clean_H_baseline
C100_2x1_H_6L_sym_strain_biaxial_p0p010_scf,(100),H,C24H8,ok,ecutwfc_below_reference; ecutrho_below_reference,,True,False,26.055210583343538,14.50130008,4.291910851099999,10.209389228900001,-36.57,-90.3,-10.07,0.0,-63.435,53.73,-2.651562719628,-6.54733698612,0.0,-4.599449852874001,3.8957742664920003,-45.65,-63.435,tensile_inplane_stress_like,use_for_clean_H_baseline
C100_2x1_H_6L_sym_strain_x_m0p005_scf,(100),H,C24H8,ok,ecutwfc_below_reference; ecutrho_below_reference,,True,False,25.414110901057786,14.50130008,4.291910851099999,10.209389228900001,28.15,-50.38,0.16,0.0,-11.115000000000002,78.53,2.0410579862600002,-3.6528774901520005,0.0,-0.8059097519460002,5.693935476412,-7.36,-11.115000000000002,tensile_inplane_stress_like,use_for_clean_H_baseline
C100_2x1_H_6L_sym_strain_x_m0p010_scf,(100),H,C24H8,ok,ecutwfc_below_reference; ecutrho_below_reference,,True,False,25.286401801303896,14.50130008,4.291910851099999,10.209389228900001,50.95,-50.06,2.64,0.0,0.4450000000000003,101.01,3.6942061953800005,-3.6296754100240003,0.0,0.03226539267800002,7.323881605404001,1.17,0.4450000000000003,near_zero_inplane_mean_stress,use_for_clean_H_baseline
C100_2x1_H_6L_sym_strain_x_p0p000_scf,(100),H,C24H8,ok,ecutwfc_below_reference; ecutrho_below_reference,,True,False,25.541820001317067,14.50130008,4.291910851099999,10.209389228900001,6.11,-50.71,-2.23,0.0,-22.3,56.82,0.44301471744400006,-3.6768046352840003,0.0,-1.6168949589200001,4.119819352728,-15.61,-22.3,tensile_inplane_stress_like,use_for_clean_H_baseline
C100_2x1_H_6L_sym_strain_x_p0p005_scf,(100),H,C24H8,ok,ecutwfc_below_reference; ecutrho_below_reference,,True,False,25.669529101070957,14.50130008,4.291910851099999,10.209389228900001,-15.17,-51.04,-4.54,0.0,-33.105,35.87,-1.0999236110680002,-3.7007317804160005,0.0,-2.400327695742,2.600808169348,-23.59,-33.105,tensile_inplane_stress_like,use_for_clean_H_baseline
C100_2x1_H_6L_sym_strain_x_p0p010_scf,(100),H,C24H8,ok,ecutwfc_below_reference; ecutrho_below_reference,,True,False,25.797238201330238,14.50130008,4.291910851099999,10.209389228900001,-35.73,-51.38,-6.77,0.0,-43.555,15.650000000000006,-2.590657259292,-3.7253839905520008,0.0,-3.1580206249220004,1.1347267312600005,-31.3,-43.555,tensile_inplane_stress_like,use_for_clean_H_baseline
