run_path,folder_name,status,complete,needs_attention,orientation,termination,layers,calculation_type,formula,nat,ntyp,n_C,n_H,n_other,species,pseudopotentials,pseudo_consistency,cutoff_notes,relax_converged,functional_reference,pseudo_set_reference,a0_reference_angstrom,bulk_modulus_reference_gpa,energy_ry,energy_ev,energy_per_atom_ry,energy_per_atom_ev,energy_per_C_ry,bulk_reference_energy_per_C_ry,carbon_bulk_subtracted_energy_ry,surface_energy_status,surface_energy_ev_angstrom2,surface_energy_j_m2,cell_area_angstrom2,cell_height_angstrom,carbon_zmin_angstrom,carbon_zmax_angstrom,carbon_thickness_angstrom,vacuum_estimate_angstrom,pressure_kbar,stress_xx_kbar,stress_yy_kbar,stress_zz_kbar,stress_xy_kbar,stress_xz_kbar,stress_yz_kbar,final_force_ry_bohr,scf_iterations,ionic_steps,wall_time,warnings,errors
results/slabs/C100_2x1_H_6L_sym,C100_2x1_H_6L_sym,JOB DONE,True,False,(100),H,6,relax,C24H8,32,2,24,8,0,C H,C:C.pbe-n-kjpaw_psl.1.0.0.UPF; H:H_ONCV_PBE-1.0.oncvpsp.upf,ok,ecutwfc_below_reference; ecutrho_below_reference,True,PBE,SSSP 1.3.0 Precision,3.573641,445.116,-451.7861306417,-6146.8634507358465,-14.118316582553126,-192.0894828354952,-18.824422110070834,-18.434062040006033,-9.368641681555232,not_computed_missing_H_chemical_potential,,,25.541820001317067,14.50130008,5.1046946671,9.3966055182,4.291910851099999,10.209389228900001,,,,,,,,0.000211,6,13,,"negative rho (up, down):  1.032E-06 0.000E+00; negative rho (up, down):  6.170E-06 0.000E+00; negative rho (up, down):  3.343E-05 0.000E+00; negative rho (up, down):  4.175E-05 0.000E+00; negative rho (up, down):  5.187E-05 0.000E+00; negative rho (up, down):  4.470E-05 0.000E+00; negative rho (up, down):  4.573E-05 0.000E+00; negative rho (up, down):  4.444E-05 0.000E+00; negative rho (up, down):  4.440E-05 0.000E+00; negative rho (up, down):  4.447E-05 0.000E+00; negative rho (up, down):  4.459E-05 0.000E+00; negative rho (up, down):  4.503E-05 0.000E+00; negative rho (up, down):  2.868E-05 0.000E+00; negative rho (up, down):  3.421E-05 0.000E+00; negative rho (up, down):  4.554E-05 0.000E+00; negative rho (up, down):  6.417E-05 0.000E+00; negative rho (up, down):  6.087E-05 0.000E+00; negative rho (up, down):  5.625E-05 0.000E+00; negative rho (up, down):  5.430E-05 0.000E+00; negative rho (up, down):  5.268E-05 0.000E+00; negative rho (up, down):  5.224E-05 0.000E+00; negative rho (up, down):  5.207E-05 0.000E+00; negative rho (up, down):  5.274E-05 0.000E+00; negative rho (up, down):  5.405E-05 0.000E+00; negative rho (up, down):  5.658E-05 0.000E+00; negative rho (up, down):  5.980E-05 0.000E+00; negative rho (up, down):  6.213E-05 0.000E+00; negative rho (up, down):  6.212E-05 0.000E+00; negative rho (up, down):  6.035E-05 0.000E+00; negative rho (up, down):  5.972E-05 0.000E+00; negative rho (up, down):  5.930E-05 0.000E+00; negative rho (up, down):  5.917E-05 0.000E+00; negative rho (up, down):  5.915E-05 0.000E+00; negative rho (up, down):  5.935E-05 0.000E+00; negative rho (up, down):  6.260E-05 0.000E+00; negative rho (up, down):  6.283E-05 0.000E+00; negative rho (up, down):  6.441E-05 0.000E+00; negative rho (up, down):  6.692E-05 0.000E+00; negative rho (up, down):  6.662E-05 0.000E+00; negative rho (up, down):  6.529E-05 0.000E+00; negative rho (up, down):  6.462E-05 0.000E+00; negative rho (up, down):  6.453E-05 0.000E+00; negative rho (up, down):  6.447E-05 0.000E+00; negative rho (up, down):  6.502E-05 0.000E+00; negative rho (up, down):  7.077E-05 0.000E+00; negative rho (up, down):  7.025E-05 0.000E+00; negative rho (up, down):  6.833E-05 0.000E+00; negative rho (up, down):  6.742E-05 0.000E+00; negative rho (up, down):  6.684E-05 0.000E+00; negative rho (up, down):  6.688E-05 0.000E+00; negative rho (up, down):  6.696E-05 0.000E+00; negative rho (up, down):  6.698E-05 0.000E+00; negative rho (up, down):  6.708E-05 0.000E+00; negative rho (up, down):  7.350E-05 0.000E+00; negative rho (up, down):  7.259E-05 0.000E+00; negative rho (up, down):  6.867E-05 0.000E+00; negative rho (up, down):  6.820E-05 0.000E+00; negative rho (up, down):  6.825E-05 0.000E+00; negative rho (up, down):  6.830E-05 0.000E+00; negative rho (up, down):  6.831E-05 0.000E+00; negative rho (up, down):  6.845E-05 0.000E+00; negative rho (up, down):  7.721E-05 0.000E+00; negative rho (up, down):  7.516E-05 0.000E+00; negative rho (up, down):  7.162E-05 0.000E+00; negative rho (up, down):  6.883E-05 0.000E+00; negative rho (up, down):  6.827E-05 0.000E+00; negative rho (up, down):  6.846E-05 0.000E+00; negative rho (up, down):  6.816E-05 0.000E+00; negative rho (up, down):  6.826E-05 0.000E+00; negative rho (up, down):  6.841E-05 0.000E+00; negative rho (up, down):  7.599E-05 0.000E+00; negative rho (up, down):  7.379E-05 0.000E+00; negative rho (up, down):  7.018E-05 0.000E+00; negative rho (up, down):  6.777E-05 0.000E+00; negative rho (up, down):  6.745E-05 0.000E+00; negative rho (up, down):  6.730E-05 0.000E+00; negative rho (up, down):  6.736E-05 0.000E+00; negative rho (up, down):  6.733E-05 0.000E+00; negative rho (up, down):  6.735E-05 0.000E+00; negative rho (up, down):  6.807E-05 0.000E+00; negative rho (up, down):  6.772E-05 0.000E+00; negative rho (up, down):  6.727E-05 0.000E+00; negative rho (up, down):  6.706E-05 0.000E+00; negative rho (up, down):  6.701E-05 0.000E+00; negative rho (up, down):  6.700E-05 0.000E+00; negative rho (up, down):  6.702E-05 0.000E+00; negative rho (up, down):  6.685E-05 0.000E+00; negative rho (up, down):  6.687E-05 0.000E+00; negative rho (up, down):  6.694E-05 0.000E+00; negative rho (up, down):  6.697E-05 0.000E+00; negative rho (up, down):  6.695E-05 0.000E+00; negative rho (up, down):  6.691E-05 0.000E+00; negative rho (up, down):  6.711E-05 0.000E+00; negative rho (up, down):  6.714E-05 0.000E+00; negative rho (up, down):  6.722E-05 0.000E+00; negative rho (up, down):  6.721E-05 0.000E+00; negative rho (up, down):  6.720E-05 0.000E+00; negative rho (up, down):  6.719E-05 0.000E+00; negative rho (up, down):  6.752E-05 0.000E+00; negative rho (up, down):  6.748E-05 0.000E+00; negative rho (up, down):  6.753E-05 0.000E+00; negative rho (up, down):  6.757E-05 0.000E+00; negative rho (up, down):  6.755E-05 0.000E+00; negative rho (up, down):  6.754E-05 0.000E+00; negative rho (up, down):  6.785E-05 0.000E+00; negative rho (up, down):  6.783E-05 0.000E+00; negative rho (up, down):  6.780E-05 0.000E+00; negative rho (up, down):  6.779E-05 0.000E+00; negative rho (up, down):  6.778E-05 0.000E+00; negative rho (up, down):  6.782E-05 0.000E+00; pw.in declares H:H.pbe-kjpaw_psl.1.0.0.UPF but pw.out shows H:H_ONCV_PBE-1.0.oncvpsp.upf was actually read",
results/slabs/C100_2x1_H_6L_sym_strain_biaxial_m0p005_scf,C100_2x1_H_6L_sym_strain_biaxial_m0p005_scf,JOB DONE,True,False,(100),H,6,scf,C24H8,32,2,24,8,0,C H,C:C.pbe-n-kjpaw_psl.1.0.0.UPF; H:H_ONCV_PBE-1.0.oncvpsp.upf,ok,ecutwfc_below_reference; ecutrho_below_reference,,PBE,SSSP 1.3.0 Precision,3.573641,445.116,-451.78768615,-6146.884614504426,-14.1183651921875,-192.09014420326332,-18.824486922916666,-18.434062040006033,-9.370197189855219,not_computed_missing_H_chemical_potential,,,25.287040346301065,14.50130008,5.1046946671,9.3966055182,4.291910851099999,10.209389228900001,0.44,28.87,-29.56,2.02,0.0,0.0,0.0,0.012482,14,,,"negative rho (up, down):  3.904E-06 0.000E+00; negative rho (up, down):  1.327E-05 0.000E+00; negative rho (up, down):  4.602E-05 0.000E+00; negative rho (up, down):  6.650E-05 0.000E+00; negative rho (up, down):  8.338E-05 0.000E+00; negative rho (up, down):  6.937E-05 0.000E+00; negative rho (up, down):  6.982E-05 0.000E+00; negative rho (up, down):  6.861E-05 0.000E+00; negative rho (up, down):  6.791E-05 0.000E+00; negative rho (up, down):  6.780E-05 0.000E+00; negative rho (up, down):  6.774E-05 0.000E+00; negative rho (up, down):  6.785E-05 0.000E+00; negative rho (up, down):  6.798E-05 0.000E+00; negative rho (up, down):  6.809E-05 0.000E+00; negative rho (up, down):  6.840E-05 0.000E+00",
results/slabs/C100_2x1_H_6L_sym_strain_biaxial_m0p010_scf,C100_2x1_H_6L_sym_strain_biaxial_m0p010_scf,JOB DONE,True,False,(100),H,6,scf,C24H8,32,2,24,8,0,C H,C:C.pbe-n-kjpaw_psl.1.0.0.UPF; H:H_ONCV_PBE-1.0.oncvpsp.upf,ok,ecutwfc_below_reference; ecutrho_below_reference,,PBE,SSSP 1.3.0 Precision,3.573641,445.116,-451.78542821,-6146.853893665697,-14.1182946315625,-192.08918417705303,-18.824392842083334,-18.434062040006033,-9.367939249855226,not_computed_missing_H_chemical_potential,,,25.03353778329086,14.50130008,5.1046946671,9.3966055182,4.291910851099999,10.209389228900001,17.21,52.59,-7.47,6.51,0.0,0.0,0.0,0.025671,14,,,"negative rho (up, down):  4.019E-06 0.000E+00; negative rho (up, down):  1.366E-05 0.000E+00; negative rho (up, down):  4.547E-05 0.000E+00; negative rho (up, down):  6.538E-05 0.000E+00; negative rho (up, down):  8.340E-05 0.000E+00; negative rho (up, down):  7.035E-05 0.000E+00; negative rho (up, down):  7.174E-05 0.000E+00; negative rho (up, down):  7.096E-05 0.000E+00; negative rho (up, down):  7.061E-05 0.000E+00; negative rho (up, down):  7.072E-05 0.000E+00; negative rho (up, down):  7.077E-05 0.000E+00; negative rho (up, down):  7.112E-05 0.000E+00; negative rho (up, down):  7.125E-05 0.000E+00; negative rho (up, down):  7.162E-05 0.000E+00",
results/slabs/C100_2x1_H_6L_sym_strain_biaxial_p0p000_scf,C100_2x1_H_6L_sym_strain_biaxial_p0p000_scf,JOB DONE,True,False,(100),H,6,scf,C24H8,32,2,24,8,0,C H,C:C.pbe-n-kjpaw_psl.1.0.0.UPF; H:H_ONCV_PBE-1.0.oncvpsp.upf,ok,ecutwfc_below_reference; ecutrho_below_reference,,PBE,SSSP 1.3.0 Precision,3.573641,445.116,-451.78613064,-6146.863450712717,-14.1183165825,-192.0894828347724,-18.82442211,-18.434062040006033,-9.368641679855216,not_computed_missing_H_chemical_potential,,,25.541820001317067,14.50130008,5.1046946671,9.3966055182,4.291910851099999,10.209389228900001,-15.61,6.11,-50.71,-2.23,0.0,0.0,0.0,0.000205,14,,,"SCF correction compared to forces is large: reduce conv_thr to get better values; negative rho (up, down):  4.199E-06 0.000E+00; negative rho (up, down):  1.348E-05 0.000E+00; negative rho (up, down):  4.637E-05 0.000E+00; negative rho (up, down):  6.431E-05 0.000E+00; negative rho (up, down):  8.247E-05 0.000E+00; negative rho (up, down):  6.859E-05 0.000E+00; negative rho (up, down):  6.907E-05 0.000E+00; negative rho (up, down):  6.791E-05 0.000E+00; negative rho (up, down):  6.723E-05 0.000E+00; negative rho (up, down):  6.714E-05 0.000E+00; negative rho (up, down):  6.711E-05 0.000E+00; negative rho (up, down):  6.724E-05 0.000E+00; negative rho (up, down):  6.737E-05 0.000E+00; negative rho (up, down):  6.748E-05 0.000E+00; negative rho (up, down):  6.779E-05 0.000E+00",
results/slabs/C100_2x1_H_6L_sym_strain_biaxial_p0p005_scf,C100_2x1_H_6L_sym_strain_biaxial_p0p005_scf,JOB DONE,True,False,(100),H,6,scf,C24H8,32,2,24,8,0,C H,C:C.pbe-n-kjpaw_psl.1.0.0.UPF; H:H_ONCV_PBE-1.0.oncvpsp.upf,ok,ecutwfc_below_reference; ecutrho_below_reference,,PBE,SSSP 1.3.0 Precision,3.573641,445.116,-451.78094124,-6146.792845328824,-14.11815441375,-192.08727641652575,-18.824205885,-18.434062040006033,-9.36345227985521,not_computed_missing_H_chemical_potential,,,25.79787674632235,14.50130008,5.1046946671,9.3966055182,4.291910851099999,10.209389228900001,-30.96,-15.69,-70.94,-6.26,0.0,0.0,0.0,0.012264,14,,,"negative rho (up, down):  4.859E-06 0.000E+00; negative rho (up, down):  1.520E-05 0.000E+00; negative rho (up, down):  4.923E-05 0.000E+00; negative rho (up, down):  6.907E-05 0.000E+00; negative rho (up, down):  8.724E-05 0.000E+00; negative rho (up, down):  7.227E-05 0.000E+00; negative rho (up, down):  7.209E-05 0.000E+00; negative rho (up, down):  7.082E-05 0.000E+00; negative rho (up, down):  7.011E-05 0.000E+00; negative rho (up, down):  7.003E-05 0.000E+00; negative rho (up, down):  6.997E-05 0.000E+00; negative rho (up, down):  7.026E-05 0.000E+00; negative rho (up, down):  7.036E-05 0.000E+00; negative rho (up, down):  7.069E-05 0.000E+00",
results/slabs/C100_2x1_H_6L_sym_strain_biaxial_p0p010_scf,C100_2x1_H_6L_sym_strain_biaxial_p0p010_scf,JOB DONE,True,False,(100),H,6,scf,C24H8,32,2,24,8,0,C H,C:C.pbe-n-kjpaw_psl.1.0.0.UPF; H:H_ONCV_PBE-1.0.oncvpsp.upf,ok,ecutwfc_below_reference; ecutrho_below_reference,,PBE,SSSP 1.3.0 Precision,3.573641,445.116,-451.77219089,-6146.6737907520055,-14.1178809653125,-192.08355596100017,-18.823841287083333,-18.434062040006033,-9.354701929855196,not_computed_missing_H_chemical_potential,,,26.055210583343538,14.50130008,5.1046946671,9.3966055182,4.291910851099999,10.209389228900001,-45.65,-36.57,-90.3,-10.07,0.0,0.0,0.0,0.023875,14,,,"negative rho (up, down):  4.710E-06 0.000E+00; negative rho (up, down):  1.506E-05 0.000E+00; negative rho (up, down):  5.154E-05 0.000E+00; negative rho (up, down):  6.997E-05 0.000E+00; negative rho (up, down):  8.850E-05 0.000E+00; negative rho (up, down):  7.365E-05 0.000E+00; negative rho (up, down):  7.344E-05 0.000E+00; negative rho (up, down):  7.225E-05 0.000E+00; negative rho (up, down):  7.140E-05 0.000E+00; negative rho (up, down):  7.125E-05 0.000E+00; negative rho (up, down):  7.109E-05 0.000E+00; negative rho (up, down):  7.120E-05 0.000E+00; negative rho (up, down):  7.132E-05 0.000E+00; negative rho (up, down):  7.171E-05 0.000E+00",
results/slabs/C100_2x1_H_6L_sym_strain_x_m0p005_scf,C100_2x1_H_6L_sym_strain_x_m0p005_scf,JOB DONE,True,False,(100),H,6,scf,C24H8,32,2,24,8,0,C H,C:C.pbe-n-kjpaw_psl.1.0.0.UPF; H:H_ONCV_PBE-1.0.oncvpsp.upf,ok,ecutwfc_below_reference; ecutrho_below_reference,,PBE,SSSP 1.3.0 Precision,3.573641,445.116,-451.78449662,-6146.84121873804,-14.118265519375,-192.08878808556375,-18.824354025833333,-18.434062040006033,-9.367007659855233,not_computed_missing_H_chemical_potential,,,25.414110901057786,14.50130008,5.1046946671,9.3966055182,4.291910851099999,10.209389228900001,-7.36,28.15,-50.38,0.16,0.0,0.0,0.0,0.004503,14,,,"negative rho (up, down):  3.925E-06 0.000E+00; negative rho (up, down):  1.318E-05 0.000E+00; negative rho (up, down):  4.348E-05 0.000E+00; negative rho (up, down):  6.147E-05 0.000E+00; negative rho (up, down):  7.849E-05 0.000E+00; negative rho (up, down):  6.555E-05 0.000E+00; negative rho (up, down):  6.656E-05 0.000E+00; negative rho (up, down):  6.558E-05 0.000E+00; negative rho (up, down):  6.507E-05 0.000E+00; negative rho (up, down):  6.502E-05 0.000E+00; negative rho (up, down):  6.499E-05 0.000E+00; negative rho (up, down):  6.513E-05 0.000E+00; negative rho (up, down):  6.527E-05 0.000E+00; negative rho (up, down):  6.538E-05 0.000E+00; negative rho (up, down):  6.571E-05 0.000E+00",
results/slabs/C100_2x1_H_6L_sym_strain_x_m0p010_scf,C100_2x1_H_6L_sym_strain_x_m0p010_scf,JOB DONE,True,False,(100),H,6,scf,C24H8,32,2,24,8,0,C H,C:C.pbe-n-kjpaw_psl.1.0.0.UPF; H:H_ONCV_PBE-1.0.oncvpsp.upf,ok,ecutwfc_below_reference; ecutrho_below_reference,,PBE,SSSP 1.3.0 Precision,3.573641,445.116,-451.7809366,-6146.7927821984085,-14.11815426875,-192.08727444370027,-18.824205691666666,-18.434062040006033,-9.363447639855224,not_computed_missing_H_chemical_potential,,,25.286401801303896,14.50130008,5.1046946671,9.3966055182,4.291910851099999,10.209389228900001,1.17,50.95,-50.06,2.64,0.0,0.0,0.0,0.009342,14,,,"negative rho (up, down):  4.454E-06 0.000E+00; negative rho (up, down):  1.378E-05 0.000E+00; negative rho (up, down):  4.500E-05 0.000E+00; negative rho (up, down):  6.478E-05 0.000E+00; negative rho (up, down):  8.202E-05 0.000E+00; negative rho (up, down):  6.836E-05 0.000E+00; negative rho (up, down):  6.930E-05 0.000E+00; negative rho (up, down):  6.841E-05 0.000E+00; negative rho (up, down):  6.790E-05 0.000E+00; negative rho (up, down):  6.787E-05 0.000E+00; negative rho (up, down):  6.788E-05 0.000E+00; negative rho (up, down):  6.803E-05 0.000E+00; negative rho (up, down):  6.817E-05 0.000E+00; negative rho (up, down):  6.828E-05 0.000E+00; negative rho (up, down):  6.859E-05 0.000E+00",
results/slabs/C100_2x1_H_6L_sym_strain_x_p0p000_scf,C100_2x1_H_6L_sym_strain_x_p0p000_scf,JOB DONE,True,False,(100),H,6,scf,C24H8,32,2,24,8,0,C H,C:C.pbe-n-kjpaw_psl.1.0.0.UPF; H:H_ONCV_PBE-1.0.oncvpsp.upf,ok,ecutwfc_below_reference; ecutrho_below_reference,,PBE,SSSP 1.3.0 Precision,3.573641,445.116,-451.78613064,-6146.863450712717,-14.1183165825,-192.0894828347724,-18.82442211,-18.434062040006033,-9.368641679855216,not_computed_missing_H_chemical_potential,,,25.541820001317067,14.50130008,5.1046946671,9.3966055182,4.291910851099999,10.209389228900001,-15.61,6.11,-50.71,-2.23,0.0,0.0,0.0,0.000205,14,,,"SCF correction compared to forces is large: reduce conv_thr to get better values; negative rho (up, down):  4.199E-06 0.000E+00; negative rho (up, down):  1.348E-05 0.000E+00; negative rho (up, down):  4.637E-05 0.000E+00; negative rho (up, down):  6.431E-05 0.000E+00; negative rho (up, down):  8.247E-05 0.000E+00; negative rho (up, down):  6.859E-05 0.000E+00; negative rho (up, down):  6.907E-05 0.000E+00; negative rho (up, down):  6.791E-05 0.000E+00; negative rho (up, down):  6.723E-05 0.000E+00; negative rho (up, down):  6.714E-05 0.000E+00; negative rho (up, down):  6.711E-05 0.000E+00; negative rho (up, down):  6.724E-05 0.000E+00; negative rho (up, down):  6.737E-05 0.000E+00; negative rho (up, down):  6.748E-05 0.000E+00; negative rho (up, down):  6.779E-05 0.000E+00",
results/slabs/C100_2x1_H_6L_sym_strain_x_p0p005_scf,C100_2x1_H_6L_sym_strain_x_p0p005_scf,JOB DONE,True,False,(100),H,6,scf,C24H8,32,2,24,8,0,C H,C:C.pbe-n-kjpaw_psl.1.0.0.UPF; H:H_ONCV_PBE-1.0.oncvpsp.upf,ok,ecutwfc_below_reference; ecutrho_below_reference,,PBE,SSSP 1.3.0 Precision,3.573641,445.116,-451.7859497,-6146.860988898603,-14.118310928125,-192.08940590308134,-18.824414570833333,-18.434062040006033,-9.368460739855209,not_computed_missing_H_chemical_potential,,,25.669529101070957,14.50130008,5.1046946671,9.3966055182,4.291910851099999,10.209389228900001,-23.59,-15.17,-51.04,-4.54,0.0,0.0,0.0,0.004159,14,,,"negative rho (up, down):  4.839E-06 0.000E+00; negative rho (up, down):  1.474E-05 0.000E+00; negative rho (up, down):  4.826E-05 0.000E+00; negative rho (up, down):  6.704E-05 0.000E+00; negative rho (up, down):  8.580E-05 0.000E+00; negative rho (up, down):  7.131E-05 0.000E+00; negative rho (up, down):  7.153E-05 0.000E+00; negative rho (up, down):  7.037E-05 0.000E+00; negative rho (up, down):  6.968E-05 0.000E+00; negative rho (up, down):  6.959E-05 0.000E+00; negative rho (up, down):  6.951E-05 0.000E+00; negative rho (up, down):  6.964E-05 0.000E+00; negative rho (up, down):  6.976E-05 0.000E+00; negative rho (up, down):  6.985E-05 0.000E+00; negative rho (up, down):  7.016E-05 0.000E+00",
